
> serve
> serve

 UPDATE  The latest version of `serve` is 14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  1/27/2026 8:03:12 PM ::1 GET /frameworks/vanillajs/dist/
 HTTP  1/27/2026 8:03:12 PM ::1 Returned 200 in 32 ms
 HTTP  1/27/2026 8:03:13 PM ::1 GET /common/main.css
 HTTP  1/27/2026 8:03:13 PM ::1 GET /frameworks/vanillajs/dist/assets/index-DNcC1qmS.js
 HTTP  1/27/2026 8:03:13 PM ::1 Returned 200 in 5 ms
 HTTP  1/27/2026 8:03:13 PM ::1 Returned 200 in 4 ms
 HTTP  1/27/2026 8:03:13 PM ::1 GET /favicon.ico
 HTTP  1/27/2026 8:03:13 PM ::1 Returned 404 in 3 ms
 HTTP  1/27/2026 8:03:14 PM ::1 GET /frameworks/vanillajs/dist/
 HTTP  1/27/2026 8:03:14 PM ::1 Returned 304 in 2 ms
 HTTP  1/27/2026 8:03:14 PM ::1 GET /common/main.css
 HTTP  1/27/2026 8:03:14 PM ::1 GET /frameworks/vanillajs/dist/assets/index-DNcC1qmS.js
 HTTP  1/27/2026 8:03:14 PM ::1 Returned 304 in 1 ms
 HTTP  1/27/2026 8:03:14 PM ::1 Returned 304 in 2 ms
